iter	Passed	Remaining
0	87	87865
1	88	44215
2	89	29658
3	89	22377
4	90	18000
5	91	15077
6	91	12988
7	92	11419
8	92	10204
9	93	9229
10	93	8430
11	94	7764
12	94	7201
13	95	6720
14	96	6307
15	96	5942
16	97	5622
17	97	5335
18	98	5079
19	99	4851
20	99	4643
21	100	4452
22	100	4277
23	101	4116
24	101	3970
25	102	3834
26	102	3709
27	103	3592
28	104	3483
29	104	3383
30	105	3289
31	105	3199
32	106	3115
33	106	3036
34	107	2961
35	108	2892
36	108	2826
37	109	2765
38	109	2705
39	110	2648
40	110	2593
41	111	2542
42	111	2492
43	112	2444
44	113	2399
45	113	2358
46	114	2317
47	114	2278
48	115	2240
49	115	2203
50	116	2168
51	117	2135
52	117	2102
53	118	2071
54	118	2042
55	119	2013
56	119	1985
57	120	1958
58	121	1932
59	121	1907
60	122	1883
61	122	1860
62	123	1836
63	123	1813
64	124	1791
65	125	1770
66	125	1750
67	126	1727
68	126	1708
69	127	1689
70	127	1671
71	128	1653
72	128	1635
73	129	1618
74	129	1602
75	130	1586
76	131	1570
77	131	1556
78	132	1541
79	132	1527
80	133	1513
81	133	1499
82	134	1486
83	135	1473
84	135	1458
85	136	1445
86	136	1430
87	136	1419
88	137	1407
89	138	1395
90	138	1385
91	139	1374
92	139	1364
93	140	1354
94	141	1344
95	141	1333
96	142	1323
97	142	1313
98	143	1304
99	143	1294
100	144	1285
101	144	1274
102	145	1265
103	145	1256
104	146	1248
105	146	1239
106	147	1231
107	148	1223
108	148	1215
109	149	1208
110	149	1200
111	150	1193
112	151	1186
113	151	1178
114	152	1171
115	152	1163
116	153	1156
117	153	1149
118	154	1142
119	154	1135
120	155	1129
121	156	1123
122	156	1115
123	156	1108
124	157	1102
125	158	1097
126	158	1091
127	159	1084
128	159	1079
129	160	1073
130	160	1067
131	161	1062
132	162	1056
133	162	1051
134	163	1045
135	163	1040
136	164	1035
137	164	1029
138	165	1024
139	165	1019
140	166	1014
141	167	1009
142	167	1004
143	168	999
144	168	994
145	169	990
146	169	985
147	170	980
148	170	976
149	171	972
150	172	967
151	172	963
152	173	959
153	173	955
154	174	952
155	175	948
156	175	944
157	176	940
158	176	936
159	177	931
160	178	928
161	178	924
162	179	920
163	179	916
164	180	913
165	180	909
166	181	905
167	182	901
168	182	898
169	183	894
170	183	891
171	184	887
172	184	884
173	185	880
174	186	877
175	186	873
176	187	870
177	187	866
178	188	864
179	188	860
180	189	856
181	189	853
182	190	849
183	190	846
184	191	843
185	192	840
186	192	837
187	193	834
188	193	831
189	194	828
190	194	825
191	195	822
192	195	819
193	196	816
194	197	813
195	197	811
196	198	808
197	198	805
198	199	802
199	199	799
200	200	797
201	201	794
202	201	792
203	202	789
204	202	786
205	203	783
206	203	781
207	204	778
208	204	775
209	205	773
210	206	770
211	206	768
212	207	765
213	207	763
214	208	760
215	208	758
216	209	756
217	210	753
218	210	751
219	211	749
220	211	746
221	212	744
222	212	742
223	213	739
224	214	737
225	214	735
226	215	733
227	215	730
228	216	728
229	217	726
230	217	724
231	218	722
232	218	720
233	219	718
234	220	716
235	220	713
236	221	711
237	221	709
238	222	707
239	222	705
240	223	703
241	223	701
242	224	699
243	224	697
244	225	694
245	226	692
246	226	690
247	227	688
248	227	686
249	228	684
250	228	682
251	229	680
252	229	678
253	230	676
254	231	674
255	231	673
256	232	671
257	232	669
258	233	667
259	233	665
260	234	663
261	235	662
262	235	660
263	236	658
264	236	656
265	237	654
266	237	652
267	238	650
268	238	649
269	239	647
270	239	645
271	240	643
272	241	641
273	241	640
274	242	638
275	242	636
276	243	634
277	243	633
278	244	631
279	244	629
280	245	628
281	246	626
282	246	624
283	247	623
284	247	621
285	248	620
286	248	618
287	249	616
288	249	614
289	250	613
290	251	611
291	251	610
292	252	608
293	252	606
294	253	605
295	253	603
296	254	601
297	254	600
298	255	599
299	256	597
300	256	596
301	257	594
302	257	593
303	258	591
304	258	590
305	259	588
306	260	587
307	260	585
308	261	584
309	261	582
310	262	581
311	263	579
312	263	578
313	264	577
314	264	575
315	265	574
316	265	573
317	266	571
318	267	570
319	267	568
320	268	567
321	268	566
322	269	564
323	269	563
324	270	561
325	271	560
326	271	559
327	272	557
328	272	556
329	273	554
330	273	553
331	274	552
332	274	550
333	275	549
334	276	547
335	276	546
336	277	545
337	277	543
338	278	542
339	278	541
340	279	540
341	280	538
342	280	537
343	281	536
344	282	535
345	282	534
346	283	532
347	283	531
348	284	530
349	284	528
350	285	527
351	285	526
352	286	524
353	286	523
354	287	522
355	288	521
356	288	519
357	289	518
358	289	517
359	290	516
360	291	515
361	291	514
362	292	512
363	292	511
364	293	510
365	293	509
366	294	508
367	295	506
368	295	505
369	296	504
370	296	503
371	297	502
372	298	501
373	298	499
374	299	498
375	299	497
376	300	496
377	301	495
378	301	494
379	302	493
380	302	491
381	303	490
382	303	489
383	304	488
384	305	487
385	305	486
386	306	484
387	306	483
388	307	482
389	307	481
390	308	480
391	308	479
392	309	477
393	310	476
394	310	475
395	311	474
396	311	473
397	312	472
398	313	471
399	313	470
400	314	469
401	314	468
402	315	467
403	315	466
404	316	465
405	317	464
406	317	463
407	318	461
408	318	460
409	319	459
410	319	458
411	320	457
412	321	456
413	321	455
414	322	454
415	322	453
416	323	452
417	324	451
418	324	450
419	325	449
420	325	448
421	326	447
422	326	446
423	327	444
424	328	443
425	328	442
426	329	441
427	329	440
428	330	439
429	331	438
430	331	437
431	332	436
432	332	435
433	333	434
434	333	433
435	334	432
436	335	431
437	335	430
438	336	429
439	336	428
440	337	427
441	337	426
442	338	425
443	339	424
444	339	423
445	340	422
446	340	421
447	341	420
448	342	419
449	342	418
450	343	417
451	343	416
452	344	415
453	344	414
454	345	413
455	345	412
456	346	411
457	346	410
458	347	409
459	347	408
460	348	406
461	348	405
462	349	404
463	349	403
464	350	402
465	350	401
466	351	400
467	351	399
468	351	398
469	352	397
470	352	396
471	353	395
472	353	394
473	354	393
474	354	392
475	355	391
476	355	390
477	356	389
478	356	388
479	357	387
480	357	386
481	358	385
482	358	384
483	359	383
484	360	382
485	360	381
486	361	380
487	361	379
488	362	378
489	362	377
490	363	376
491	363	375
492	364	374
493	364	373
494	365	372
495	365	371
496	366	370
497	366	369
498	367	368
499	367	367
500	368	366
501	368	365
502	369	364
503	369	363
504	370	362
505	370	362
506	371	361
507	371	360
508	372	359
509	372	358
510	373	357
511	373	356
512	374	355
513	374	354
514	375	353
515	375	352
516	376	351
517	377	350
518	377	349
519	378	348
520	378	348
521	379	347
522	379	346
523	380	345
524	380	344
525	381	343
526	381	342
527	382	341
528	382	340
529	383	339
530	383	338
531	384	338
532	384	337
533	385	336
534	385	335
535	386	334
536	386	333
537	387	332
538	387	331
539	388	330
540	388	329
541	389	328
542	389	328
543	390	327
544	390	326
545	391	325
546	391	324
547	392	323
548	392	322
549	393	321
550	393	320
551	394	319
552	394	318
553	395	318
554	395	317
555	396	316
556	396	315
557	397	314
558	397	313
559	398	312
560	398	311
561	399	311
562	399	310
563	400	309
564	400	308
565	401	307
566	401	306
567	402	305
568	402	304
569	403	304
570	403	303
571	404	302
572	404	301
573	405	300
574	405	299
575	406	298
576	406	298
577	407	297
578	407	296
579	408	295
580	408	294
581	409	293
582	409	293
583	410	292
584	410	291
585	411	290
586	411	289
587	412	288
588	412	288
589	413	287
590	413	286
591	414	285
592	414	284
593	415	283
594	415	283
595	416	282
596	416	281
597	417	280
598	417	279
599	418	278
600	418	278
601	419	277
602	419	276
603	420	275
604	420	274
605	421	273
606	421	273
607	422	272
608	422	271
609	423	270
610	423	269
611	424	269
612	424	268
613	425	267
614	426	266
615	426	265
616	427	265
617	427	264
618	428	263
619	428	262
620	429	261
621	429	261
622	430	260
623	430	259
624	431	258
625	431	257
626	431	256
627	432	256
628	432	255
629	433	254
630	434	253
631	434	253
632	435	252
633	435	251
634	436	250
635	436	249
636	437	249
637	437	248
638	438	247
639	438	246
640	439	245
641	439	245
642	440	244
643	440	243
644	441	242
645	441	242
646	442	241
647	442	240
648	443	239
649	443	238
650	444	238
651	444	237
652	445	236
653	445	235
654	446	235
655	446	234
656	447	233
657	448	232
658	448	232
659	449	231
660	449	230
661	450	229
662	450	228
663	451	228
664	451	227
665	452	226
666	452	225
667	453	225
668	453	224
669	454	223
670	454	222
671	455	222
672	455	221
673	456	220
674	456	219
675	457	219
676	457	218
677	458	217
678	458	216
679	459	216
680	459	215
681	460	214
682	460	213
683	461	213
684	461	212
685	462	211
686	462	210
687	463	210
688	463	209
689	464	208
690	464	207
691	465	207
692	466	206
693	466	205
694	467	204
695	467	204
696	468	203
697	468	202
698	469	201
699	469	201
700	470	200
701	470	199
702	471	199
703	471	198
704	472	197
705	472	196
706	472	196
707	473	195
708	473	194
709	474	193
710	475	193
711	475	192
712	476	191
713	476	190
714	477	190
715	477	189
716	478	188
717	478	187
718	479	187
719	479	186
720	480	185
721	480	185
722	481	184
723	481	183
724	482	182
725	482	182
726	483	181
727	483	180
728	484	180
729	484	179
730	485	178
731	485	177
732	486	177
733	486	176
734	487	175
735	487	175
736	488	174
737	488	173
738	489	172
739	489	172
740	490	171
741	491	170
742	491	170
743	492	169
744	492	168
745	493	167
746	493	167
747	494	166
748	494	165
749	495	165
750	495	164
751	496	163
752	496	162
753	497	162
754	497	161
755	498	160
756	498	160
757	499	159
758	499	158
759	500	157
760	500	157
761	501	156
762	501	155
763	502	155
764	502	154
765	503	153
766	503	153
767	504	152
768	504	151
769	505	150
770	505	150
771	506	149
772	506	148
773	507	148
774	507	147
775	508	146
776	508	146
777	509	145
778	510	144
779	510	144
780	511	143
781	511	142
782	512	141
783	512	141
784	513	140
785	513	139
786	514	139
787	514	138
788	515	137
789	515	137
790	516	136
791	516	135
792	517	135
793	517	134
794	518	133
795	518	132
796	519	132
797	519	131
798	520	130
799	520	130
800	521	129
801	521	128
802	522	128
803	522	127
804	523	126
805	523	126
806	524	125
807	525	124
808	525	124
809	526	123
810	526	122
811	527	122
812	527	121
813	528	120
814	528	119
815	529	119
816	529	118
817	530	117
818	530	117
819	530	116
820	531	115
821	531	115
822	532	114
823	532	113
824	533	113
825	534	112
826	534	111
827	535	111
828	535	110
829	536	109
830	536	109
831	537	108
832	537	107
833	538	107
834	538	106
835	539	105
836	539	105
837	540	104
838	540	103
839	541	103
840	541	102
841	542	101
842	542	101
843	543	100
844	543	99
845	544	99
846	544	98
847	545	97
848	545	97
849	546	96
850	546	95
851	547	95
852	547	94
853	548	93
854	548	93
855	549	92
856	549	91
857	550	91
858	550	90
859	551	89
860	551	89
861	552	88
862	552	87
863	553	87
864	553	86
865	554	85
866	554	85
867	555	84
868	555	83
869	556	83
870	556	82
871	557	81
872	557	81
873	558	80
874	558	79
875	559	79
876	559	78
877	560	77
878	560	77
879	561	76
880	561	75
881	562	75
882	562	74
883	563	73
884	563	73
885	564	72
886	564	71
887	565	71
888	565	70
889	566	69
890	566	69
891	567	68
892	567	68
893	568	67
894	568	66
895	569	66
896	569	65
897	570	64
898	570	64
899	571	63
900	571	62
901	572	62
902	572	61
903	573	60
904	573	60
905	574	59
906	574	58
907	575	58
908	575	57
909	576	57
910	576	56
911	577	55
912	577	55
913	578	54
914	578	53
915	579	53
916	579	52
917	580	51
918	580	51
919	581	50
920	581	49
921	582	49
922	582	48
923	583	47
924	583	47
925	584	46
926	584	46
927	585	45
928	585	44
929	586	44
930	587	43
931	587	42
932	588	42
933	588	41
934	589	40
935	589	40
936	590	39
937	590	39
938	590	38
939	591	37
940	591	37
941	592	36
942	592	35
943	593	35
944	594	34
945	594	33
946	595	33
947	595	32
948	596	32
949	596	31
950	597	30
951	597	30
952	598	29
953	598	28
954	599	28
955	599	27
956	600	26
957	600	26
958	601	25
959	601	25
960	602	24
961	602	23
962	603	23
963	603	22
964	604	21
965	604	21
966	605	20
967	605	20
968	606	19
969	606	18
970	607	18
971	607	17
972	608	16
973	608	16
974	609	15
975	609	14
976	610	14
977	610	13
978	611	13
979	611	12
980	612	11
981	612	11
982	613	10
983	613	9
984	614	9
985	614	8
986	615	8
987	615	7
988	616	6
989	616	6
990	617	5
991	617	4
992	618	4
993	618	3
994	619	3
995	619	2
996	620	1
997	620	1
998	621	0
999	621	0
